geo,year,scenario,flights,mt_total_fuel,saf_share,mt_co2_baseline,mt_co2_emissions,mt_co2_avoided
EU27,2024,S1_policy,9805092.6,39.33324577220965,0.011047394266067994,124.2930566401825,123.26322083925339,1.0298358009291064
EU27,2025,S1_policy,10050219.915,39.87382026881772,0.02,126.00127204946399,124.11125296872203,1.8900190807419648
EU27,2026,S1_policy,10301475.412874999,40.42182412399119,0.027999999999999997,127.73296423181218,125.05057198294412,2.682392248868055
EU27,2027,S1_policy,10559012.298196873,40.97735944274805,0.036,129.48845583908385,125.99226753142858,3.4961883076552738
EU27,2028,S1_policy,10822987.605651794,41.54052973338148,0.044,131.26807395748548,126.93622751688847,4.331846440597019
EU27,2029,S1_policy,11093562.295793088,42.11143992674572,0.05199999999999999,133.0721501685165,127.88233631194434,5.189813856572144
EU27,2030,S1_policy,11370901.353187915,42.69019639580694,0.06,134.90102061074995,128.8304746832662,6.070545927483749
EU27,2031,S1_policy,11530093.972132545,42.812471876214026,0.088,135.28741112883634,126.35844199433313,8.928969134503205
EU27,2032,S1_policy,11691515.2877424,42.935097584410414,0.116,135.6749083667369,123.8711913388308,11.803717027906103
EU27,2033,S1_policy,11855196.501770794,43.05807452353675,0.14400000000000002,136.06351549437613,121.36865582098352,14.694859673392614
EU27,2034,S1_policy,12021169.252795586,43.18140369960694,0.17200000000000001,136.45323569075794,118.85076828665017,17.60246740410777
EU27,2035,S1_policy,12189465.622334724,43.30508612151635,0.2,136.84407214399167,116.31746132239292,20.52661082159875
EU27,2036,S1_policy,12360118.14104741,43.47263895616135,0.244,137.37353910146987,112.23418144590087,25.139357655569
EU27,2037,S1_policy,12533159.795022074,43.64084007383525,0.28800000000000003,137.9050546333194,108.11756283252241,29.787491800796985
EU27,2038,S1_policy,12708624.032152383,43.80969198282677,0.332,138.4386266657326,103.96740862596519,34.47121803976742
EU27,2039,S1_policy,12886544.768602517,43.97919720112952,0.376,138.9742631555693,99.78352094569875,39.19074220987055
EU27,2040,S1_policy,13066956.395362953,44.149358256479545,0.42,139.51197209047535,95.56570088197563,43.946271208499724
EU27,2041,S1_policy,13197625.959316581,44.145344638320445,0.44799999999999995,139.49928905709262,92.6275279339095,46.87176112318312
EU27,2042,S1_policy,13329602.218909748,44.14133138503937,0.476,139.48660717672442,89.6898884146338,49.79671876209062
EU27,2043,S1_policy,13462898.241098845,44.13731849660316,0.504,139.47392644926597,86.75278225144343,52.72114419782254
EU27,2044,S1_policy,13597527.223509833,44.133305972978626,0.532,139.46124687461247,83.81620937164209,55.64503750297038
EU27,2045,S1_policy,13733502.495744932,44.12929381413262,0.5599999999999999,139.4485684526591,80.88016970254228,58.56839875011681
EU27,2046,S1_policy,13870837.520702383,44.125282020031975,0.588,139.43589118330104,77.9446631714653,61.491228011835744
EU27,2047,S1_policy,14009545.895909406,44.12127059064353,0.616,139.42321506643358,75.00968970574128,64.4135253606923
EU27,2048,S1_policy,14149641.3548685,44.11725952593414,0.6439999999999999,139.41054010195188,72.07524923270914,67.33529086924274
EU27,2049,S1_policy,14291137.768417185,44.113248825870635,0.6719999999999999,139.39786628975122,69.1413416797166,70.25652461003462
EU27,2050,S1_policy,14434049.146101357,44.10923849041987,0.7,139.38519362972679,66.20796697412024,73.17722665560655
