geo,year,scenario,flights,mt_total_fuel,saf_share,mt_co2_baseline,mt_co2_emissions,mt_co2_avoided
EU27,2024,S0_market,9805092.6,39.33324577220965,0.004047394266067995,124.2930566401825,123.91575938661434,0.3772972535681589
EU27,2025,S0_market,10050219.915,39.87382026881772,0.006,126.00127204946399,125.43426632524141,0.5670057242225823
EU27,2026,S0_market,10301475.412874999,40.42182412399119,0.0088,127.73296423181218,126.88992666788221,0.8430375639299683
EU27,2027,S0_market,10559012.298196873,40.97735944274805,0.0116,129.48845583908385,128.3619062732838,1.1265495658000475
EU27,2028,S0_market,10822987.605651794,41.54052973338148,0.0144,131.26807395748548,129.85037875874463,1.4176951987408586
EU27,2029,S0_market,11093562.295793088,42.11143992674572,0.0172,133.0721501685165,131.35551943134263,1.7166307371738583
EU27,2030,S0_market,11370901.353187915,42.69019639580694,0.02,134.90102061074995,132.8775053015887,2.0235153091612403
EU27,2031,S0_market,11530093.972132545,42.812471876214026,0.027999999999999997,135.28741112883634,132.44637549513078,2.841035633705559
EU27,2032,S0_market,11691515.2877424,42.935097584410414,0.036,135.6749083667369,132.011685840835,3.6632225259018867
EU27,2033,S0_market,11855196.501770794,43.05807452353675,0.044,136.06351549437613,131.5734194830617,4.490096011314421
EU27,2034,S0_market,12021169.252795586,43.18140369960694,0.05199999999999999,136.45323569075794,131.13155949881838,5.321676191939559
EU27,2035,S0_market,12189465.622334724,43.30508612151635,0.06,136.84407214399167,130.68608889751204,6.157983246479631
EU27,2036,S0_market,12360118.14104741,43.47263895616135,0.07933333333333333,137.37353910146987,129.1998135249324,8.173725576537464
EU27,2037,S0_market,12533159.795022074,43.64084007383525,0.09866666666666665,137.9050546333194,127.70008059045377,10.20497404286563
EU27,2038,S0_market,12708624.032152383,43.80969198282677,0.118,138.4386266657326,126.18680820581527,12.251818459917345
EU27,2039,S0_market,12886544.768602517,43.97919720112952,0.1373333333333333,138.9742631555693,124.65991405054567,14.314349105023638
EU27,2040,S0_market,13066956.395362953,44.149358256479545,0.15666666666666665,139.51197209047535,123.11931536984451,16.39265672063084
EU27,2041,S0_market,13197625.959316581,44.145344638320445,0.176,139.49928905709262,121.0853829015564,18.413906155536225
EU27,2042,S0_market,13329602.218909748,44.14133138503937,0.1953333333333333,139.48660717672442,119.0518192253343,20.43478795139012
EU27,2043,S0_market,13462898.241098845,44.13731849660316,0.21466666666666664,139.47392644926597,117.01862429093414,22.455302158331833
EU27,2044,S0_market,13597527.223509833,44.133305972978626,0.23399999999999999,139.46124687461247,114.98579804811799,24.475448826494485
EU27,2045,S0_market,13733502.495744932,44.12929381413262,0.2533333333333333,139.4485684526591,112.95334044665387,26.49522800600522
EU27,2046,S0_market,13870837.520702383,44.125282020031975,0.2726666666666666,139.43589118330104,110.92125143631598,28.514639746985054
EU27,2047,S0_market,14009545.895909406,44.12127059064353,0.292,139.42321506643358,108.88953096688464,30.53368409954895
EU27,2048,S0_market,14149641.3548685,44.11725952593414,0.3113333333333333,139.41054010195188,106.85817898814611,32.55236111380577
EU27,2049,S0_market,14291137.768417185,44.113248825870635,0.3306666666666666,139.39786628975122,104.82719544989291,34.57067083985831
EU27,2050,S0_market,14434049.146101357,44.10923849041987,0.35,139.38519362972679,102.79658030192351,36.58861332780327
